Station	AirQuality	Longitude	Latitude	O3Hour	O3Quality	O3Value	NO2Hour	NO2Quality	NO2Value	PM10Hour	PM10Quality	PM10Value	Generated	Date Time
Barcelo - Sants	Good	2.1331	41.3788				0h	Good	84				1/11/2018 0:00	1541027104
Barcelo - Eixample	Moderate	2.1538	41.3853	0h	Good	1	0h	Moderate	113	0h	Good	36	1/11/2018 0:00	1541027104
Barcelo - Gr??cia	Good	2.1534	41.3987	0h	Good	10	0h	Good	73				1/11/2018 0:00	1541027104
Barcelo - Ciutadella	Good	2.1874	41.3864	0h	Good	2	0h	Good	86				1/11/2018 0:00	1541027104
Barcelo - Vall Hebron	Good	2.148	41.4261	0h	Good	7	0h	Good	69				1/11/2018 0:00	1541027104
Barcelo - Palau Reial	Good	2.1151	41.3875	23h	Good	11	23h	Good	57	23h	Good	23	1/11/2018 0:00	1541027104
Barcelo - Poblenou	Good	2.2045	41.4039				23h	Good	86	23h	Good	32	1/11/2018 0:00	1541027104
Barcelo - Observ Fabra	Good	2.1239	41.4183	23h	Good	58	23h	Good	3	23h	Good	25	1/11/2018 0:00	1541027104
Barcelo - Sants	Good	2.1331	41.3788				0h	Good	62				1/11/2018 1:00	1541030725
Barcelo - Eixample	Good	2.1538	41.3853	0h	Good	6	0h	Good	80	1h	Good	35	1/11/2018 1:00	1541030725
Barcelo - Gr??cia	Good	2.1534	41.3987	0h	Good	21	0h	Good	59				1/11/2018 1:00	1541030725
Barcelo - Ciutadella	Good	2.1874	41.3864	0h	Good	4	0h	Good	78				1/11/2018 1:00	1541030725
Barcelo - Vall Hebron	Good	2.148	41.4261	0h	Good	29	0h	Good	45				1/11/2018 1:00	1541030725
Barcelo - Palau Reial	Good	2.1151	41.3875	0h	Good	27	0h	Good	38	1h	Good	24	1/11/2018 1:00	1541030725
Barcelo - Poblenou	Good	2.2045	41.4039				0h	Good	75	1h	Good	32	1/11/2018 1:00	1541030725
Barcelo - Observ Fabra	Good	2.1239	41.4183	0h	Good	87	0h	Good	8	1h	Good	25	1/11/2018 1:00	1541030725
Barcelo - Sants	Good	2.1331	41.3788				1h	Good	46				1/11/2018 2:00	1541034303
Barcelo - Eixample	Good	2.1538	41.3853	1h	Good	14	1h	Good	64	1h	Good	34	1/11/2018 2:00	1541034303
Barcelo - Gr??cia	Good	2.1534	41.3987	1h	Good	32	1h	Good	41				1/11/2018 2:00	1541034303
Barcelo - Ciutadella	Good	2.1874	41.3864	1h	Good	24	1h	Good	56				1/11/2018 2:00	1541034303
Barcelo - Vall Hebron	Good	2.148	41.4261	1h	Good	47	1h	Good	27				1/11/2018 2:00	1541034303
Barcelo - Palau Reial	Good	2.1151	41.3875	1h	Good	34	1h	Good	28	2h	Good	24	1/11/2018 2:00	1541034303
Barcelo - Poblenou	Good	2.2045	41.4039				1h	Good	51	2h	Good	32	1/11/2018 2:00	1541034303
Barcelo - Observ Fabra	Good	2.1239	41.4183	1h	Good	77	1h	Good	11	2h	Good	25	1/11/2018 2:00	1541034303
Barcelo - Sants	Good	2.1331	41.3788				1h	Good	46				1/11/2018 3:00	1541037902
Barcelo - Eixample	Good	2.1538	41.3853	2h	Good	32	2h	Good	44	3h	Good	35	1/11/2018 3:00	1541037902
Barcelo - Gr??cia	Good	2.1534	41.3987	2h	Good	48	2h	Good	27				1/11/2018 3:00	1541037902
Barcelo - Ciutadella	Good	2.1874	41.3864	2h	Good	45	2h	Good	29				1/11/2018 3:00	1541037902
Barcelo - Vall Hebron	Good	2.148	41.4261	2h	Good	65	2h	Good	14				1/11/2018 3:00	1541037902
Barcelo - Palau Reial	Good	2.1151	41.3875	2h	Good	38	2h	Good	19	3h	Good	24	1/11/2018 3:00	1541037902
Barcelo - Poblenou	Good	2.2045	41.4039				2h	Good	34	3h	Good	31	1/11/2018 3:00	1541037902
Barcelo - Observ Fabra	Good	2.1239	41.4183	2h	Good	83	2h	Good	6	2h	Good	24	1/11/2018 3:00	1541037902
Barcelo - Sants	--	2.1331	41.3788				2h	--					1/11/2018 4:00	1541041503
Barcelo - Eixample	Good	2.1538	41.3853	3h	Good	43	3h	Good	34	4h	Good	34	1/11/2018 4:00	1541041503
Barcelo - Gr??cia	Good	2.1534	41.3987	3h	Good	58	3h	Good	18				1/11/2018 4:00	1541041503
Barcelo - Ciutadella	Good	2.1874	41.3864	3h	Good	61	3h	Good	19				1/11/2018 4:00	1541041503
Barcelo - Vall Hebron	Good	2.148	41.4261	3h	Good	70	3h	Good	11				1/11/2018 4:00	1541041503
Barcelo - Palau Reial	Good	2.1151	41.3875	3h	Good	57	3h	Good	7	4h	Good	23	1/11/2018 4:00	1541041503
Barcelo - Poblenou	Good	2.2045	41.4039				3h	Good	20	4h	Good	30	1/11/2018 4:00	1541041503
Barcelo - Observ Fabra	Good	2.1239	41.4183	3h	Good	83	3h	Good	4	4h	Good	23	1/11/2018 4:00	1541041503
Barcelo - Sants	--	2.1331	41.3788				2h	--					1/11/2018 5:00	1541045102
