ID,name,Sex,Age,Height,Weight,NOC,Year,Season,City,Sport,Medal
6,Per Knut Aaland,1,31,188,75,USA,1992,Winter,Albertville,Cross Country Skiing,0
6,Per Knut Aaland,1,31,188,75,USA,1992,Winter,Albertville,Cross Country Skiing,0
6,Per Knut Aaland,1,31,188,75,USA,1992,Winter,Albertville,Cross Country Skiing,0
6,Per Knut Aaland,1,31,188,75,USA,1992,Winter,Albertville,Cross Country Skiing,0
6,Per Knut Aaland,1,33,188,75,USA,1994,Winter,Lillehammer,Cross Country Skiing,0
6,Per Knut Aaland,1,33,188,75,USA,1994,Winter,Lillehammer,Cross Country Skiing,0
6,Per Knut Aaland,1,33,188,75,USA,1994,Winter,Lillehammer,Cross Country Skiing,0
6,Per Knut Aaland,1,33,188,75,USA,1994,Winter,Lillehammer,Cross Country Skiing,0
7,John Aalberg,1,31,183,72,USA,1992,Winter,Albertville,Cross Country Skiing,0
7,John Aalberg,1,31,183,72,USA,1992,Winter,Albertville,Cross Country Skiing,0
7,John Aalberg,1,31,183,72,USA,1992,Winter,Albertville,Cross Country Skiing,0
7,John Aalberg,1,31,183,72,USA,1992,Winter,Albertville,Cross Country Skiing,0
7,John Aalberg,1,33,183,72,USA,1994,Winter,Lillehammer,Cross Country Skiing,0
7,John Aalberg,1,33,183,72,USA,1994,Winter,Lillehammer,Cross Country Skiing,0
7,John Aalberg,1,33,183,72,USA,1994,Winter,Lillehammer,Cross Country Skiing,0
7,John Aalberg,1,33,183,72,USA,1994,Winter,Lillehammer,Cross Country Skiing,0
84,Stephen Anthony Abas,1,26,165,55,USA,2004,Summer,Athi,Wrestling,2
142,"David ""Dave"" Abbott",1,26,183,75,USA,1928,Summer,Amsterdam,Athletics,0
145,Jeremy Abbott,1,24,175,70,USA,2010,Winter,Vancouver,Figure Skating,0
145,Jeremy Abbott,1,28,175,70,USA,2014,Winter,Sochi,Figure Skating,0
145,Jeremy Abbott,1,28,175,70,USA,2014,Winter,Sochi,Figure Skating,1
149,Mara Katherine Abbott,0,30,163,52,USA,2016,Summer,Rio de Janeiro,Cycling,0
153,Monica Cecilia Abbott,0,23,191,88,USA,2008,Summer,Beijing,Softball,2
165,Nia Nicole Abdallah,0,20,175,56,USA,2004,Summer,Athi,Taekwondo,2
256,"Abdihakim ""Abdi"" Abdirahman",1,23,178,61,USA,2000,Summer,Sydney,Athletics,0
256,"Abdihakim ""Abdi"" Abdirahman",1,27,178,61,USA,2004,Summer,Athi,Athletics,0
256,"Abdihakim ""Abdi"" Abdirahman",1,31,178,61,USA,2008,Summer,Beijing,Athletics,0
256,"Abdihakim ""Abdi"" Abdirahman",1,35,178,61,USA,2012,Summer,London,Athletics,0
323,Aquil Hashim Abdullah (Shumate-),1,31,187,83,USA,2004,Summer,Athi,Rowing,0
351,Julius Shareef Abdur-Rahim,1,23,202,104,USA,2000,Summer,Sydney,Basketball,3
390,Brooke Abel,0,20,163,52,USA,2008,Summer,Beijing,Synchronized Swimming,0
391,Clarence John Abel,1,23,185,102,USA,1924,Winter,Chamonix,Ice Hockey,2
423,Michael Brent Aberthy,1,22,182,84,USA,2000,Summer,Sydney,Baseball,3
454,"Edgar Allen ""Ed"" Ablowich",1,19,182,68,USA,1932,Summer,Los Angeles,Athletics,3
504,Cheryl Abplalp,0,24,174,68,USA,1996,Summer,Atlanta,Handball,0
524,"Dold Robert Abrahamson, Jr.",1,26,162,67,USA,1984,Summer,Los Angeles,Weightlifting,0
525,Richard Neal Abrahamson,1,24,190,88,USA,1972,Summer,Munich,Handball,0
525,Richard Neal Abrahamson,1,28,190,88,USA,1976,Summer,Montreal,Handball,0
531,"Fletcher Abram, Jr.",1,21,193,87,USA,1972,Summer,Munich,Handball,0
585,Brian Kenneth Abshire,1,24,180,59,USA,1988,Summer,Seoul,Athletics,0
737,"Amelia Lynn ""Amy"" Acuff (-Harvey)",0,21,188,66,USA,1996,Summer,Atlanta,Athletics,0
737,"Amelia Lynn ""Amy"" Acuff (-Harvey)",0,25,188,66,USA,2000,Summer,Sydney,Athletics,0
737,"Amelia Lynn ""Amy"" Acuff (-Harvey)",0,29,188,66,USA,2004,Summer,Athi,Athletics,0
737,"Amelia Lynn ""Amy"" Acuff (-Harvey)",0,33,188,66,USA,2008,Summer,Beijing,Athletics,0
737,"Amelia Lynn ""Amy"" Acuff (-Harvey)",0,37,188,66,USA,2012,Summer,London,Athletics,0
801,Tatya Pavlov Adamovich,0,29,163,54,USA,1972,Summer,Munich,Fencing,0
807,"Benjamin Willard ""Ben"" Adams",1,22,188,78,USA,1912,Summer,Stockholm,Athletics,2
807,"Benjamin Willard ""Ben"" Adams",1,22,188,78,USA,1912,Summer,Stockholm,Athletics,1
