ID,name,Sex,Age,Height,Weight,NOC,Year,Season,City,Sport,Medal
6,Per Knut Aaland,1,31,188,75,USA,1992,Winter,Albertville,Cross Country Skiing,No
6,Per Knut Aaland,1,31,188,75,USA,1992,Winter,Albertville,Cross Country Skiing,No
6,Per Knut Aaland,1,31,188,75,USA,1992,Winter,Albertville,Cross Country Skiing,No
6,Per Knut Aaland,1,31,188,75,USA,1992,Winter,Albertville,Cross Country Skiing,No
6,Per Knut Aaland,1,33,188,75,USA,1994,Winter,Lillehammer,Cross Country Skiing,No
6,Per Knut Aaland,1,33,188,75,USA,1994,Winter,Lillehammer,Cross Country Skiing,No
6,Per Knut Aaland,1,33,188,75,USA,1994,Winter,Lillehammer,Cross Country Skiing,No
6,Per Knut Aaland,1,33,188,75,USA,1994,Winter,Lillehammer,Cross Country Skiing,No
7,John Aalberg,1,31,183,72,USA,1992,Winter,Albertville,Cross Country Skiing,No
7,John Aalberg,1,31,183,72,USA,1992,Winter,Albertville,Cross Country Skiing,No
7,John Aalberg,1,31,183,72,USA,1992,Winter,Albertville,Cross Country Skiing,No
7,John Aalberg,1,31,183,72,USA,1992,Winter,Albertville,Cross Country Skiing,No
7,John Aalberg,1,33,183,72,USA,1994,Winter,Lillehammer,Cross Country Skiing,No
7,John Aalberg,1,33,183,72,USA,1994,Winter,Lillehammer,Cross Country Skiing,No
7,John Aalberg,1,33,183,72,USA,1994,Winter,Lillehammer,Cross Country Skiing,No
7,John Aalberg,1,33,183,72,USA,1994,Winter,Lillehammer,Cross Country Skiing,No
84,Stephen Anthony Abas,1,26,165,55,USA,2004,Summer,Athi,Wrestling,Silver
142,"David ""Dave"" Abbott",1,26,183,75,USA,1928,Summer,Amsterdam,Athletics,No
145,Jeremy Abbott,1,24,175,70,USA,2010,Winter,Vancouver,Figure Skating,No
145,Jeremy Abbott,1,28,175,70,USA,2014,Winter,Sochi,Figure Skating,No
145,Jeremy Abbott,1,28,175,70,USA,2014,Winter,Sochi,Figure Skating,Bronze
149,Mara Katherine Abbott,0,30,163,52,USA,2016,Summer,Rio de Janeiro,Cycling,No
153,Monica Cecilia Abbott,0,23,191,88,USA,2008,Summer,Beijing,Softball,Silver
165,Nia Nicole Abdallah,0,20,175,56,USA,2004,Summer,Athi,Taekwondo,Silver
256,"Abdihakim ""Abdi"" Abdirahman",1,23,178,61,USA,2000,Summer,Sydney,Athletics,No
256,"Abdihakim ""Abdi"" Abdirahman",1,27,178,61,USA,2004,Summer,Athi,Athletics,No
256,"Abdihakim ""Abdi"" Abdirahman",1,31,178,61,USA,2008,Summer,Beijing,Athletics,No
256,"Abdihakim ""Abdi"" Abdirahman",1,35,178,61,USA,2012,Summer,London,Athletics,No
323,Aquil Hashim Abdullah (Shumate-),1,31,187,83,USA,2004,Summer,Athi,Rowing,No
351,Julius Shareef Abdur-Rahim,1,23,202,104,USA,2000,Summer,Sydney,Basketball,Gold
390,Brooke Abel,0,20,163,52,USA,2008,Summer,Beijing,Synchronized Swimming,No
391,Clarence John Abel,1,23,185,102,USA,1924,Winter,Chamonix,Ice Hockey,Silver
423,Michael Brent Aberthy,1,22,182,84,USA,2000,Summer,Sydney,Baseball,Gold
454,"Edgar Allen ""Ed"" Ablowich",1,19,182,68,USA,1932,Summer,Los Angeles,Athletics,Gold
504,Cheryl Abplalp,0,24,174,68,USA,1996,Summer,Atlanta,Handball,No
524,"Dold Robert Abrahamson, Jr.",1,26,162,67,USA,1984,Summer,Los Angeles,Weightlifting,No
525,Richard Neal Abrahamson,1,24,190,88,USA,1972,Summer,Munich,Handball,No
525,Richard Neal Abrahamson,1,28,190,88,USA,1976,Summer,Montreal,Handball,No
531,"Fletcher Abram, Jr.",1,21,193,87,USA,1972,Summer,Munich,Handball,No
585,Brian Kenneth Abshire,1,24,180,59,USA,1988,Summer,Seoul,Athletics,No
737,"Amelia Lynn ""Amy"" Acuff (-Harvey)",0,21,188,66,USA,1996,Summer,Atlanta,Athletics,No
737,"Amelia Lynn ""Amy"" Acuff (-Harvey)",0,25,188,66,USA,2000,Summer,Sydney,Athletics,No
737,"Amelia Lynn ""Amy"" Acuff (-Harvey)",0,29,188,66,USA,2004,Summer,Athi,Athletics,No
737,"Amelia Lynn ""Amy"" Acuff (-Harvey)",0,33,188,66,USA,2008,Summer,Beijing,Athletics,No
737,"Amelia Lynn ""Amy"" Acuff (-Harvey)",0,37,188,66,USA,2012,Summer,London,Athletics,No
801,Tatya Pavlov Adamovich,0,29,163,54,USA,1972,Summer,Munich,Fencing,No
807,"Benjamin Willard ""Ben"" Adams",1,22,188,78,USA,1912,Summer,Stockholm,Athletics,Silver
807,"Benjamin Willard ""Ben"" Adams",1,22,188,78,USA,1912,Summer,Stockholm,Athletics,Bronze
811,talie Cammile Adams (-Brann),0,20,173,65,USA,2012,Summer,London,Swimming,No
811,talie Cammile Adams (-Brann),0,24,173,65,USA,2016,Summer,Rio de Janeiro,Swimming,No
836,Platt Adams,1,23,188,78,USA,1908,Summer,London,Athletics,No
836,Platt Adams,1,23,188,78,USA,1908,Summer,London,Athletics,No
836,Platt Adams,1,23,188,78,USA,1908,Summer,London,Athletics,No
836,Platt Adams,1,23,188,78,USA,1908,Summer,London,Athletics,No
836,Platt Adams,1,23,188,78,USA,1908,Summer,London,Athletics,No
836,Platt Adams,1,27,188,78,USA,1912,Summer,Stockholm,Athletics,No
836,Platt Adams,1,27,188,78,USA,1912,Summer,Stockholm,Athletics,Gold
836,Platt Adams,1,27,188,78,USA,1912,Summer,Stockholm,Athletics,Silver
836,Platt Adams,1,27,188,78,USA,1912,Summer,Stockholm,Athletics,No
837,Rachael Alexis Adams,0,26,188,81,USA,2016,Summer,Rio de Janeiro,Volleyball,Bronze
844,"William Edward ""Willie"" Adams",1,19,198,93,USA,1992,Summer,Barcelo,Baseball,No
855,"James Nicholas ""Nick"" Adamson",1,27,183,74,USA,1996,Summer,Atlanta,Sailing,No
938,Cary Glen Adgate,1,22,173,74,USA,1976,Winter,Innsbruck,Alpine Skiing,No
938,Cary Glen Adgate,1,22,173,74,USA,1976,Winter,Innsbruck,Alpine Skiing,No
938,Cary Glen Adgate,1,26,173,74,USA,1980,Winter,Lake Placid,Alpine Skiing,No
960,Amanda Jo Adkins (-Schneider),0,23,173,61,USA,2000,Summer,Sydney,Swimming,No
961,"Bradley Don ""Brad"" Adkins",1,22,188,80,USA,2016,Summer,Rio de Janeiro,Athletics,No
963,Derrick Ralph Adkins,1,26,188,80,USA,1996,Summer,Atlanta,Athletics,Gold
1017,than Ghar-Jun Adrian,1,19,198,100,USA,2008,Summer,Beijing,Swimming,Gold
1017,than Ghar-Jun Adrian,1,23,198,100,USA,2012,Summer,London,Swimming,Gold
1017,than Ghar-Jun Adrian,1,23,198,100,USA,2012,Summer,London,Swimming,Silver
1017,than Ghar-Jun Adrian,1,23,198,100,USA,2012,Summer,London,Swimming,Gold
1017,than Ghar-Jun Adrian,1,27,198,100,USA,2016,Summer,Rio de Janeiro,Swimming,Bronze
1017,than Ghar-Jun Adrian,1,27,198,100,USA,2016,Summer,Rio de Janeiro,Swimming,Bronze
1017,than Ghar-Jun Adrian,1,27,198,100,USA,2016,Summer,Rio de Janeiro,Swimming,Gold
1017,than Ghar-Jun Adrian,1,27,198,100,USA,2016,Summer,Rio de Janeiro,Swimming,Gold
1028,"Fredua Koranteng ""Freddy"" Adu",1,19,170,66,USA,2008,Summer,Beijing,Football,No
1122,Andre Kirk Agassi,1,26,180,80,USA,1996,Summer,Atlanta,Tennis,Gold
1122,Andre Kirk Agassi,1,26,180,80,USA,1996,Summer,Atlanta,Tennis,No
1139,Craig John Age,1,23,170,66,USA,1984,Summer,Los Angeles,Judo,No
1178,"Jeffrey Allan ""Jeff"" Agoos",1,32,175,79,USA,2000,Summer,Sydney,Football,No
1188,"Benjamin Alexandro ""Ben"" Agosto",1,24,178,75,USA,2006,Winter,Torino,Figure Skating,Silver
1188,"Benjamin Alexandro ""Ben"" Agosto",1,28,178,75,USA,2010,Winter,Vancouver,Figure Skating,No
1291,Mason Singer Aguirre,1,18,183,68,USA,2006,Winter,Torino,Snowboarding,No
1313,Robyn Mokiha Ah Mow-Santos,0,24,172,67,USA,2000,Summer,Sydney,Volleyball,No
1313,Robyn Mokiha Ah Mow-Santos,0,28,172,67,USA,2004,Summer,Athi,Volleyball,No
1313,Robyn Mokiha Ah Mow-Santos,0,32,172,67,USA,2008,Summer,Beijing,Volleyball,Silver
1321,"Daniel William ""Dan"" Ahearn (Ahearne-)",1,32,178,69,USA,1920,Summer,Antwerpen,Athletics,No
1322,Kevin Joseph Ahearn,1,23,175,73,USA,1972,Winter,Sapporo,Ice Hockey,Silver
1325,"Patrick Lee ""Pat"" Ahern",1,23,183,73,USA,1984,Winter,Sarajevo,Nordic Combined,No
1380,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",0,22,172,52,USA,1992,Summer,Barcelo,Swimming,Gold
1380,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",0,22,172,52,USA,1992,Summer,Barcelo,Swimming,Silver
1380,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",0,22,172,52,USA,1992,Summer,Barcelo,Swimming,Gold
1444,"Christian ""Chris"" Ahrens",1,24,195,97,USA,2000,Summer,Sydney,Rowing,No
1444,"Christian ""Chris"" Ahrens",1,28,195,97,USA,2004,Summer,Athi,Rowing,Gold
1453,Nicole Ahsinger,0,18,163,58,USA,2016,Summer,Rio de Janeiro,Trampolining,No
1500,Kurt Harold Ainsworth,1,22,187,84,USA,2000,Summer,Sydney,Baseball,Gold
1621,"Charles Arthur ""Charlie"" Akers",1,20,177,73,USA,1960,Winter,Squaw Valley,Cross Country Skiing,No
1621,"Charles Arthur ""Charlie"" Akers",1,24,177,73,USA,1964,Winter,Innsbruck,Biathlon,No
1622,Michelle Anne Akers,0,30,178,68,USA,1996,Summer,Atlanta,Football,Gold
1682,Morolake Akinosun,0,22,163,61,USA,2016,Summer,Rio de Janeiro,Athletics,Gold
1683,Foluke Antinuke Akinradewo,0,24,191,79,USA,2012,Summer,London,Volleyball,Silver
1683,Foluke Antinuke Akinradewo,0,28,191,79,USA,2016,Summer,Rio de Janeiro,Volleyball,Bronze
1730,Monica Aksamit,0,26,183,74,USA,2016,Summer,Rio de Janeiro,Fencing,Bronze
2293,"William Everett ""Bill"" Albans",1,22,190,77,USA,1948,Summer,London,Athletics,No
2361,Alan Jacob Alborn,1,17,178,61,USA,1998,Winter,gano,Ski Jumping,No
2361,Alan Jacob Alborn,1,17,178,61,USA,1998,Winter,gano,Ski Jumping,No
2361,Alan Jacob Alborn,1,17,178,61,USA,1998,Winter,gano,Ski Jumping,No
2361,Alan Jacob Alborn,1,21,178,61,USA,2002,Winter,Salt Lake City,Ski Jumping,No
2361,Alan Jacob Alborn,1,21,178,61,USA,2002,Winter,Salt Lake City,Ski Jumping,No
2361,Alan Jacob Alborn,1,21,178,61,USA,2002,Winter,Salt Lake City,Ski Jumping,No
2361,Alan Jacob Alborn,1,25,178,61,USA,2006,Winter,Torino,Ski Jumping,No
2361,Alan Jacob Alborn,1,25,178,61,USA,2006,Winter,Torino,Ski Jumping,No
2361,Alan Jacob Alborn,1,25,178,61,USA,2006,Winter,Torino,Ski Jumping,No
2385,"Christopher John ""Chris"" Albright",1,21,185,81,USA,2000,Summer,Sydney,Football,No
2387,"David Dold ""Dave"" Albritton",1,23,191,79,USA,1936,Summer,Berlin,Athletics,Silver
2411,David Alcoriza,1,27,180,73,USA,1996,Summer,Atlanta,Shooting,No
2412,Kyle Scott Alcorn,1,27,185,82,USA,2012,Summer,London,Athletics,No
2440,"Frederick Pitt ""Fred"" Alderman",1,22,177,75,USA,1928,Summer,Amsterdam,Athletics,Gold
2443,"Joan ""Jody"" Alderson (-Braskamp)",0,17,170,59,USA,1952,Summer,Helsinki,Swimming,No
2443,"Joan ""Jody"" Alderson (-Braskamp)",0,17,170,59,USA,1952,Summer,Helsinki,Swimming,Bronze
2445,"Robert Mathew ""Bob"" Aldighieri",1,26,170,70,USA,1992,Winter,Albertville,Freestyle Skiing,No
2448,Erin Marie Aldrich,0,22,186,62,USA,2000,Summer,Sydney,Athletics,No
2568,Gary Joseph Alexander,1,32,165,62,USA,1976,Summer,Montreal,Wrestling,No
2578,"Nicholas ""Nick"" Alexander",1,21,180,64,USA,2010,Winter,Vancouver,Ski Jumping,No
2578,"Nicholas ""Nick"" Alexander",1,21,180,64,USA,2010,Winter,Vancouver,Ski Jumping,No
2578,"Nicholas ""Nick"" Alexander",1,21,180,64,USA,2010,Winter,Vancouver,Ski Jumping,No
2578,"Nicholas ""Nick"" Alexander",1,25,180,64,USA,2014,Winter,Sochi,Ski Jumping,No
2578,"Nicholas ""Nick"" Alexander",1,25,180,64,USA,2014,Winter,Sochi,Ski Jumping,No
2578,"Nicholas ""Nick"" Alexander",1,25,180,64,USA,2014,Winter,Sochi,Ski Jumping,No
2636,"Stephen Todd ""Steve"" Alford",1,19,185,74,USA,1984,Summer,Los Angeles,Basketball,Gold
